Idx,Phase_Label,Advantage,Proprio_0 (x),Proprio_1 (y),Proprio_2 (z),Proprio_Gripper,Tgt_Pose_0_x,Tgt_Pose_0_y,Tgt_Pose_0_z,Tgt_Grip_0
82,2,-0.1761,0.153,0.048,0.106,0.372,0.555,0.154,0.473,1.00
83,2,0.0183,0.161,0.050,0.112,0.369,0.553,0.161,0.479,1.00
84,2,0.2194,0.168,0.054,0.118,0.347,0.553,0.164,0.482,1.00
85,2,0.4277,0.172,0.056,0.121,0.341,0.552,0.167,0.485,1.00
86,2,0.6408,0.175,0.058,0.123,0.339,0.551,0.173,0.491,1.00
87,2,0.8588,0.182,0.063,0.128,0.339,0.550,0.177,0.494,1.00
88,2,1.0845,0.186,0.066,0.130,0.341,0.550,0.180,0.497,1.00
89,2,1.3153,0.189,0.069,0.132,0.344,0.549,0.183,0.500,1.00
90,2,1.5514,0.193,0.072,0.134,0.348,0.549,0.185,0.503,1.00
91,3,1.7927,0.196,0.075,0.136,0.315,0.548,0.188,0.505,1.00
92,3,2.0385,0.199,0.078,0.138,0.267,0.548,0.190,0.509,1.00
93,3,2.2887,0.202,0.082,0.139,0.253,0.547,0.193,0.520,1.00
94,3,2.5496,0.208,0.090,0.139,0.162,0.547,0.193,0.523,1.00
95,3,2.8145,0.209,0.093,0.139,0.144,0.547,0.194,0.525,1.00
96,3,3.0829,0.210,0.096,0.140,0.128,0.548,0.195,0.528,1.00
97,3,3.3550,0.213,0.101,0.140,0.098,0.548,0.197,0.532,1.00
98,3,3.6318,0.216,0.109,0.141,0.057,0.548,0.198,0.533,1.00
99,3,3.9145,0.217,0.112,0.141,0.043,0.549,0.198,0.531,1.00
100,3,4.2011,0.217,0.110,0.141,-0.022,0.549,0.198,0.526,1.00
101,3,4.4966,0.216,0.107,0.141,-0.006,0.550,0.199,0.521,1.00
102,3,4.7946,0.216,0.106,0.141,-0.009,0.552,0.199,0.503,1.00
103,3,5.0929,0.216,0.102,0.141,-0.011,0.553,0.200,0.492,1.00
104,3,5.3848,0.216,0.099,0.140,-0.009,0.553,0.200,0.486,1.00
105,3,5.6740,0.216,0.098,0.140,-0.008,0.553,0.200,0.481,1.00
106,3,5.9634,0.216,0.096,0.140,-0.007,0.553,0.200,0.469,1.00
